DR_ID|DR_LoadTime|DR_Start|DR_End|DR_Current|CasNumber|IngredientName|MatchingStrategy|PercentofConfidence|DisclosureStatus|IsSand|SandMeshSize|SandQuality|IsResinCoated|IsArtificial
3962|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|13709949|"potassium metabonrate"|"NO CAS MATCH FOUND"||Disclosed|||||
3963|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|13840567|"boric acid sodium salt"|"NO CAS MATCH FOUND"||Disclosed|||||
3964|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|138879944|"oxyalkylated amine quat"|"NO CAS MATCH FOUND"||Disclosed|||||
3965|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|139139|"aminocarboxylate salt"|"NO CAS MATCH FOUND"||Disclosed|||||
3966|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|141435|"ethanol, 2-amino"|"NO CAS MATCH FOUND"||Disclosed|||||
3967|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|142314|"bulfuric acid, nonooctyl ester, sodium salt (1:1)"|"NO CAS MATCH FOUND"||Disclosed|||||
3968|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68439509|"alcohols (c12-14), ethoxylated"|"NO CAS MATCH FOUND"||Disclosed|||||
3969|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68439509|"alcohols, c12-14, ethodylated"|"NO CAS MATCH FOUND"||Disclosed|||||
3970|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68439509|"c12-c14 alchol ethoxylated"|"NO CAS MATCH FOUND"||Disclosed|||||
3971|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68439510|"alcohols,c12-14,ethoxylated propoxylated"|"NO CAS MATCH FOUND"||Disclosed|||||
3972|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68439703|"alkyldimethayl amines"|"NO CAS MATCH FOUND"||Disclosed|||||
3973|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|68442773|"modified amide"|"NO CAS MATCH FOUND"||Disclosed|||||
